Generating up to 5000 3-turn dialogues via 16 workers...
  100/20000 attempts, 100 valid
  200/20000 attempts, 200 valid
  300/20000 attempts, 300 valid
  400/20000 attempts, 400 valid
  500/20000 attempts, 500 valid
  600/20000 attempts, 600 valid
  700/20000 attempts, 700 valid
  800/20000 attempts, 800 valid
  900/20000 attempts, 900 valid
  1000/20000 attempts, 1000 valid
  1100/20000 attempts, 1100 valid
  1200/20000 attempts, 1200 valid
  1300/20000 attempts, 1299 valid
  1400/20000 attempts, 1398 valid
  1500/20000 attempts, 1498 valid
  1600/20000 attempts, 1598 valid
  1700/20000 attempts, 1698 valid
  1800/20000 attempts, 1797 valid
  1900/20000 attempts, 1897 valid
  2000/20000 attempts, 1997 valid
  2100/20000 attempts, 2097 valid
  2200/20000 attempts, 2197 valid
  2300/20000 attempts, 2297 valid
  2400/20000 attempts, 2397 valid
  2500/20000 attempts, 2497 valid
  2600/20000 attempts, 2596 valid
  2700/20000 attempts, 2693 valid
  2800/20000 attempts, 2793 valid
  2900/20000 attempts, 2893 valid
  3000/20000 attempts, 2993 valid
  3100/20000 attempts, 3091 valid
  3200/20000 attempts, 3191 valid
  3300/20000 attempts, 3291 valid
  3400/20000 attempts, 3390 valid
  3500/20000 attempts, 3490 valid
  3600/20000 attempts, 3590 valid
  3700/20000 attempts, 3688 valid
  3800/20000 attempts, 3787 valid
  3900/20000 attempts, 3887 valid
  4000/20000 attempts, 3987 valid
  4100/20000 attempts, 4087 valid
  4200/20000 attempts, 4187 valid
  4300/20000 attempts, 4285 valid
  4400/20000 attempts, 4384 valid
  4500/20000 attempts, 4484 valid
  4600/20000 attempts, 4584 valid
  4700/20000 attempts, 4684 valid
  4800/20000 attempts, 4784 valid
  4900/20000 attempts, 4884 valid
  5000/20000 attempts, 4984 valid
