# 200 TEMPLATES ACROSS 9 CATEGORIES. ONE PER LINE.|SOUNDS LIKE QUITE AN EXTENSIVE COLLECTION THERE. HOPE IT'S REALLY USEFUL!
WHAT IS THE CAPITAL OF PERU?|LIMA IS THE CAPITAL OF PERU. IT'S LOCATED ON THE COAST.
I'M NERVOUS ABOUT SOMETHING AND I DON'T KNOW WHY.|THAT SOUNDS ROUGH. MAYBE JUST BREATHE FOR A SEC.
WHAT IS THE CURRENCY USED IN AUSTRALIA?|IT'S THE AUSTRALIAN DOLLAR.
WHAT IS THE CAPITAL OF SWEDEN?|THE CAPITAL OF SWEDEN IS STOCKHOLM. IT'S A REALLY BEAUTIFUL CITY.
WHAT IS THE CHEMICAL SYMBOL FOR GOLD?|AU
WHO WAS THE FIRST PERSON TO WALK ON THE MOON?|NEIL ARMSTRONG DID IT.
WHAT IS THE LONGEST RIVER IN THE WORLD?|THE NILE IS GENERALLY CONSIDERED THE LONGEST.
WHY DID THE DOG CROSS THE ROAD?|TO GET TO THE OTHER SIDE!
WHY DID THE SMOOTHIE CROSS THE ROAD?|TO GET TO THE OTHER BLEND!
WHY DID THE SALAD CROSS THE ROAD?|TO GET TO THE OTHER SIDE, I GUESS! IT WAS JUST TRYING TO GET SOME FRESH VEGGIES.
MAKE UP A RIDICULOUS FACT ABOUT SAILING.|SAILORS CAN ACTUALLY SMELL WHEN BARNACLES ARE PLOTTING WORLD DOMINATION.
MAKE UP A RIDICULOUS FACT ABOUT DANCING.|FLAMINGOS CAN DANCE THE TANGO USING ONLY THEIR KNEES.
WHAT'S A GOOD GIFT IDEA FOR A LAZY WEEKEND?|MOVIE MARATHON, GOOD SNACKS, COMFY CLOTHES.
WHAT'S A GOOD RESTAURANT DISH TO TRY FOR A CHEER-UP SESSION?|SUSHI IS ALWAYS MOOD-BOOSTING!
WHAT'S A GOOD GIFT IDEA FOR A BOOK CLUB?|NICE LITERARY SOCKS OR A THEMED SNACK BASKET.
CAN YOU SUGGEST A MYSTERY TV SHOW?|TRY "SHERLOCK"! IT'S GREAT.
CAN YOU SUGGEST A BIOGRAPHICAL TV SHOW?|TRY "THE CROWN." IT'S GREAT.
CAN YOU SUGGEST A HEARTWARMING TV SHOW?|TRY "PARKS AND REC." IT'S SO SWEET!
CAN YOU SUGGEST A CONTEMPORARY TV SHOW?|TRY "SEVERANCE" IF YOU LIKE SCI-FI VIBES.
CAN YOU SUGGEST A SCIENCE FICTION BOOK FOR SOMEONE WHO DOESN'T READ MUCH?|DUNE IS A CLASSIC START.
WHAT'S A GOOD GIFT FOR SOMEONE WHO HAS EVERYTHING?|AN EXPERIENCE OR SOMETHING PERSONALIZED WORKS WELL.
RECOMMEND SOMETHING RELAXING TO DO AFTER A STRESSFUL WEEK.|TRY A LONG BATH OR SOME GENTLE STRETCHING.
HOW DO I PREPARE A SPACE?|TIDY UP AND DECLUTTER FIRST.
HOW DO I START A CAT?|JUST GET A LITTER AND SOME SUPPLIES!
HOW DO I STORE A CHAIR?|LAY IT ON ITS SIDE OR UPRIGHT.
WHAT'S THE BEST WAY TO FIND QUICKLY?|USE SEARCH OR APPS.
WHAT'S THE BEST WAY TO COMBINE QUICKLY?|USE QUICK METHODS LIKE BLENDING OR WHISKING.
WHAT'S THE BEST WAY TO MIX QUICKLY?|JUST BLEND IT FAST!
WHAT'S A GOOD SPY MOVIE FOR A BIRTHDAY?|CASINO ROYALE IS ALWAYS FUN.
RECOMMEND A BOARD GAME FOR A GIRLS NIGHT.|CODENAMES IS ALWAYS FUN FOR GROUPS!
CAN YOU SUGGEST AN ACTIVITY FOR A FIRST DATE?|TRY GRABBING COFFEE OR GOING FOR A WALK.
